number,id,reviewText,summary,Label
4,38,Horrible! It doesn't charge my Nook at all! Do not buy this charger for your Nook. I want a refund.,Don't do it,"2,3"
5,40,Just so you know ... you need to put something in front of the reader so the pages don't turn.  I think the &#34;pocket&#34; in front hits the glass and makes the page turn back (sometimes several pages).,Just so you know... you need to ...,3
2258,41,Very nice.,Five Stars,1
1197,43,"Does not effect screen visibility, but a bit tricky to put on. I would recommend starting from the top edge and simultaneously press on to the screen while peeling off the backing.",Good protection for Nook Color screen,"3,4"
1198,49,I am very happy with my Nook tablet cover. The quality is very high and I really like the protection it offers my tablet.,Great fit and beautifully made,1
2259,56,Received this cover awhile ago and I absolutely love it! It looks exactly like the picture and my nook fits very securely in it. Only thing that would make it better would maybe be a slot to hold a stylus and something to keep the cover closed. All in all I love love love it! This goes everywhere with me,Love it!,"1,3"
6,63,"now i can charge my nook anywhere, no need for pc. a touch pricey at about $10, but i'm happy.",love it,1
1199,69,The cable is very wobbly and sometimes disconnects itself.The price is completely unfair and only works with the Nook HD and HD+,Cheap proprietary scam,3
1200,73,adapter was so easy to hook up my 72 year old mother did it herself. she loves it. it works great.,nook adapter kit for hdtv,1
7,76,This product really works great but I found the following items you need to keep in mind:- You must have your power adapter connected for it to work...it plugs in the the bottom. It appears it needs power from the nook power adapter to operate.- The plug fits in loosely and you cannot move the Nook around much without holding the adapter in place.- On initial plugin it seems you need to rock it around to get the connection but then it seems solid.- It works with a 25ft high quality HDMI cable so you can put the NOOK across the room with you. Not tested with cheap cables.Warning...I found that my LG SmartTV 3D from a few years back does not work with this adapter but it does not seem to work with many things...bad software. This adapter works fine with other HDMI devices I have used like monitors and I am sure other TVs.Gave it five stars because it really is nice to extend the screen and use your Nook as a streaming server to your TV. Nice they made such a device.,This works great but read the details...,"1,4"
2260,77,"This is a must have for the nook.  You can project anything on your display to the tv such as netflix, applications such as games.No other tablet i know of does this at HD quality.  I use it like a DVR.",A must have,1
8,78,"Great to be able to hook your nook up to TV and watch netflix, hbo-go, etc on it.  Cord could be a bit longer, but works okay - just have to have nook close to the tv.",Works well,1
9,80,"I barely touched my Tablet until I got screen protectors because I was terrified I would completely wreck the screen since, screens seem to be allergic to me. I bought this type (anti glare) for the same price as non anti glare, & I went to B&N where the nice NOOK staff put mine on for me. So far no scratches & its doing great protecting my screen! My only complaint, why I rate this as 4 stars, is that I have to clean the screen even with the cover fairly frequently because its beyond easy to leave finger smudges all over it even with clean hands. I dont mind though. If im too lazy to clean the screen I just place my hand flat on it & run my hand across evenly so that everything turns into one big smudge that I can see fine through :P. I definitely recommend this product.",Does it's job...,1
10,81,"GREAT EARPHONES, CLEAR, AND VERY LITTLE DISTORTION.. I WOULD RECOMMEND THESE TO ANYONE WITH A NOOK OR KINDLE. I RECOMMEND THIS PRODUCT",Just waht i NEEDED,1
11,87,This unit did not fit my Kindle.  However I am keeping it in case I buy another Kindle.  Hard to know what applies,Power Power,2
2261,88,"True BN OEM will buy again. You have to get OEM chargers with Nooks, otherwise it's money and time wasted.",True Bn oem,"1,3"
12,89,Lost my charger for my Nook.  Purchased this one and it works as good as the one that can with my Nook.Thanks for a Great Product and Great Price.,Works Just like the Original,1
1201,97,"It does 2A and charges a DEAD Nook in a few hours. It does so with a LOT of heat, compared to most wall worts. I have a dual charger where 1 port is 2.1A and the other is 1A for total output of 3.1A that doesn't run as hot as this. And i use that to power a raspberry pi to avoid needing a powered hubIt does the job adequately as it's designed to. Just hot. I would always unplug it if not using (even though it cools off) because of the amount of heat made. The nook hd+ runs hot too right where you hold it on the left side in portrait, but not so much when charging. I guess it's better to have it at the plug.",This is the oem charger you get with the nook hd+,"1,3,4"
13,103,"Go to Target or Barnes and Noble instead, and pay $25 (which is still a huge markup, considering they make the thing for 50 cents.) This is the worst option if you need one of these. It's price gouging, pure and simple.",$45 for a power cord? Good luck with that.,2
1202,106,Fast Shipment!!! I would definitely recommend.to friends and family to buy as a back charger so you have something to recharge the Nook HD and HD+.,Back Charger!!,"1,4"
14,110,Item works exactly as described with no problems so far. The charger is exactly the same as the original that'd you get from Barnes and Noble.,Works Great,1
1203,118,Somehow this cord feels better built than the one that originally came with my nook. It is about the same length but if you pair it with a stand of some sort you can charge and watch a movie or read a book at the same time.,Works well.,"1,4"
1204,120,the power power plug works real good. Very satisfied with it. I use it a lot. Glad I got it.,A Happy Customer,1
1205,121,I bought this to protect my Nook HD at work and it is a tough little case. I like that it has the clips instead of soft ridges and it snaps around the shell of the Nook perfectly.,Sturdy Little Case,"3,4"
2262,122,I would suggest this stylus for any nook user.  I love the color. The red is bright and funIlike the fact that it stays in center of the  nook cover,my. favorite stylus,"1,4"
15,124,"Someone showed us an older case that was all leather, which is what I thought this would be. So, this is different but it works.",Good stand,1
1206,139,"i have so for used inav iguidance,mapopolis,navigon navigator 5 and The Blue Logger & Street Atlas USA .out of all these The Blue Logger & Street Atlas USA is the worst and inav iguidance 2.1.1 is the best  .blue logger gps hardware is good but v impractical to use bcuz of its strange onoff button....i will not recommend it to anyone....simply waste of time and money",stayaway from it,"2,3"
16,140,"I am trying to get this to work for the last 2 weeks ... unfortunately without success. I bought the bundle #3 (Bluelogger & Street Atlas 2005 & Street Atlas 2005 Handheld). The installation went fine, but I had problems in hooking up to bluetooth. I had to reset my HP iPAQ 2215 several times in this process and my IBM T30 (2.4 GHz and with 1GB RAM) was very slow ... not sure why this was.Once I got the laptop to work, I took the Blue Logger out for a trip and downloaded the trip when I returned. Well, I coudn't make sense out the data the Blue Logger logged - the waypoints were almost all over the map. This was not the route I took.I am still within the 30-day risk-free guarantee and try to return it next week.",It doesn't work for me,"2,3"
1207,149,as described,Four Stars,1
1208,155,"I have used 4  Wall  mount mechanism already and and help friends to install one, this is the best I've seen.",five star wall mount,"1,4"
1209,161,"I bought it so I can move my computer monitor on the wall. The mount is sturdy, reliable, and looks great.",Very good purchase,1
17,170,"This does not allow for mounting other than on the stud. If the stud is not in the center it will not work. Through much difficulty my husband was able to mount this on our previous tv mount that did not swivel. He had to put a plate on, drill through medal and use more screws to secure it.",DO NOT PURCHASE IF STUD IS NOT IN CENTER MOUNT.,"2,3"
2263,171,We got this mount for the television in our bedroom. My husband was able to install it easily and it swivels. We are very happy with it.,perfect,1
2264,183,"I received the mount, which was well packaged for shipping.  The installation instructions were Moderately clear.  No issues following them, they were just a little disjointed depending on the wall surface you were installing on.My shipment had a mis-cut piece, and was missing 4 screws.  I contacted the Manufacturer, and they shipped me a replacement part and screws the very next day (Shipped out of Texas, so normal mailing times applied)I like how the Mount fits together, and I easily mounted my 60lbs TV by myself.  The part that attaches to the TV has a hook that will hold the TV on the Arm till you bolt it on.It's very adjustable, and pushes almost flush with the wall.I'm very happy, but took one star for the miscut piece.","Sturdy Mount, good customer service","1,3"
1210,190,"Took a bit of work, but used this to fit an older vizio 32&#34; monitor to the wall to use as a compute monitor. Stable and like the ability to move the tv to different angles. The vizio was older and did not have the standard holes, this product fit and holds the tv very stable.",Works,1
2265,199,I bought 2 of these for about half of what it costs for one in a retail store. It works great and easy to install.,Great price with no shipping costs,1
2266,202,great product at a great prize and it arrived within 4  days i saved over 60 bucks buying it here then at the store i am very satisfied,great product and awesome prize,1
18,206,"is not 400x600 compatible but just disconnect one of the screw from the extension arm and move it forward one more, and it will fit, but you will just have 2 screw on the bottem arms and not 3, but it's okay i mounted it like that and it stable. I like it a lot.",Good product.,"1,3"
1211,213,Have used three of these and they work great.  Fairly compact and real sturdy.  Good price.,Excellent product,1
1212,214,this holds up my 55inch sony with ease. make sure u mount this with ur own lag screws into the heart of the 2x4 ur mounting to and u won't have any problem--u may have to make a modificatoin or two but use ur brain and figure it out-- it'll be there till the house falls!!!3inch lag screws is the way to go don't be cheap go buy em.---how much did u pay for the tv????,work great,"1,4"
2267,215,I order about 5 or 6 of these mount and I love them is easy to put together and affordable its a strong mount I this everyone should have one for there tv,The best tv mount,"1,4"
19,217,good price and works well . was quite easy to install . it is supportig a 30&#34; tv in my bedroom,tv arm,1
2268,218,"I have had this unit about a year and it works great in the bedroom with a 22&#34; flat screen TV.  Very good function and can't beat the price!  You will need two people to set this up, but it goes easy with four hands and simple directions.",Inexpensive and very useful,"1,3"
20,219,Nice quality still works great... very happy with this purchase... need to add 10 more words.. so what can I say its a wall mount that I haven't had any problems with,great,1
2269,222,"I purchased 4 of these for various sized TV's from a 37&#34; to a 55&#34;.  A couple of things to be cognizant of:  First, make sure you center the mount on the wall in a closed position and look where the TV will actually be when hung and second, make sure you have a helper!PROS:InexpensiveNo problem once upCONS:Difficult to mountInstructions are not the bestNow that all the TV's are mounted I'm grateful the task is done and glad I purchased them... but that's not what I was saying when I was mounting them.  It was a challenge to see who would win at times but well worth the savings.",VideoSecu 24\ Long Arm TV Wall Mount Low Profile Full Motion Cantilever - A challenge!,"1,3"
2270,224,"I am loving this product, it is what I was expecting and more.  I was worried about those extensions on the end and didn't even have to use them, but they are thicker than they look in the picture.  Was worried a bit about getting caught with you get what you pay for and a lot of cases that is true, but I think this will hold up as well as the ones you may spend $100's for.  I also like the range of movement that this has, which is a big reason for this particular model.",I also like the range of movement that this has,"1,3"
1213,241,"I bought this mount to use in an RV with a 32\ Vizio LCD.  It seems to handle the weight fine and was a snap to install.  I especially like the mount cover that hides the bolt heads.  Before I bought this item, I read most of the reviews here.  I thought I would address some of the negatives I read and have now experienced.  One review talked about how tight the mount was to move.  There is a simple answer to that...loosen the bolts on those joints!  Others mentioned how it was a two person job to mount.  While it might take two people to figure out where to mount it, I mounted this in an RV six feet high by myself.  Just take the bolts off of the bracket with the included wrench, mount it, then put the bracket back on.  I also read that the TV was hard to put on once the mount was on the wall.  There is a top screw on the middle joint that can be removed.  Then mount the bracket to the TV.  Then put the middle section back together by simply sliding it onto the post it came off of.  I don't travel with the TV mounted in the RV so I take it off and put it on this same way and never struggle at all.  Another review talked about the mount being out of square with the TV.  This mount is endlessly adjustable and the tilt and pitch both of the TV can be adjusted.  All in all this is a solid mount with endless adjustments.  It even includes a small loop to help with cable management.  For the money, I can't believe there is something out there better.  Make sure the bolt pattern fits your TV.",Great for the price...,"1,4"
2271,244,"I looked at many different products, and this was one of the best - especially for the $$.  This is a good choice.",Great product - heavy duty,1
1214,249,We used this mounting bracket to mount a 32\ flat screen Television in our room. The product performed perfectly for the TV. The installation was very easy. The bracket is sturdy and security to hold our TV.,performed perfectly,1
1215,251,"So far, its great. Easy to install, did it alone (tv is 32 inch) and took about an hour. Would have been faster but friend had borrowed by socket wrench so had to do it with the ol' run-of-the-mill wrench.Holds steady and comes with hardware for any type of mount (brick, concreate, drywall)","So far, great",1
1216,265,"Shipping was very fast.Very well made mount, excellent price and easy to mount on wall ,with more than enough hardware to make the project an easy one.",Videosecu Led tv mount,1
21,268,This mount is easy to install and very sturdy and is very functional and very affordable for the price. A+,great product,1
22,280,"Great bracket for the money. Easy to use and install. I have it above a chair in the basement, so it's been very reliable",Videosecu,1
1217,282,"Wanted the monitor off of the desk, so we mounted on the wall.  I would have rather had a vertical adjustment as well, but for the price, this unit does the job.","for 25&#34; monitor, it worked well",2
23,291,Allows me to move my tv to a position of my choosing. Able to be comfortable watching tv or playing games,Cannot complain,1
2272,293,Amazing! Exceeded my expectations! It fits snuggly up against my wall then swings out over the foot of my bed. It tilts left and right and swivels up or down as well as swings into various positions. Better than I hoped or envisioned!,Made my bedroom a theater,1
1218,308,"Quality was excellent. Instructions were clear. It was not clear about a tilt feature, but there was enough to level it when I finished. Be careful to get the wall bracket real vertical. (I was using it for a 23 inch computer screen so I really need it to be level for reading.) Everything I needed plus lots of extra hardware for different situations.",Real value for the money,"1,4"
1219,318,"This item is heavy duty , easy to assemble and great for the price. The instructions were plan and simple. This a wonderful product to purchase.",Awesome,1
24,321,The Video Secu Swing Arm TV Wall Mount was exactly what I ordered and need.  Was unable to find wall mount in local stores that would fit the mounting patten needed.  I was very happy with the product and price and would recommend this product to anyone needing a wall mount for a really good price.,Swing Arm,1
1220,324,Easy to install.  Very sturdy. Best reach of all other style brackets that cost way more.  I put a 60&#34; tv on this bracket and it works awesome.  All I had to do was make holes in flat stock and criss cross them and it fit perfectly.,best bracket ever,1
2273,326,Great bracket work wonderful easy instructions and I was able to do it myself with a few tools needed for the install,Great Bracket,1
2274,327,"The instructions aren't great, but it doesn't take a rocket scientist to figure out how to put it together.  I have it holding a 50&#34; led Samsung.  The swivel joints are a little stiff, but I don't need it to move, I just needed it to hang over a cutout above our fireplace.  It works perfect, and you cant beat this price.  Very sturdy, and it holds the TV level in place.  I like the ability to swing the tv away from the wall when I need to retrieve something in our wall cutout.","Great, Inexpensive wall mount for my 50\ LED","1,3"
25,329,I mounted this t.v. in about 30 minutes.  The instructions were simple.  Came with its own little wrench to loosen and tighten the swivels.  I can say I am very pleased.  Money well spent.,"Awesome, cheap, easy, simple",1
2275,330,Easy to assemble and mount/adaptable for various sized TVs/adjusts (swivel and extend) easily.  Great product especially for the price.  I would recommend to anyone!,Great TV wall mount...exceeded all expectations.,"1,4"
26,338,THIS PRODUCT WAS EXACT AS ADVERTISED. RECEIVED IN A GOOD TIME PERIOD. INSTALLED AS INSTRUCTED. WORKED JUST FINE. IT DID NEED SOME TRIMING FROM THE BRACKET THAT ATTACHED TO THE TV. IT BLOCKED OFF THE TERMINALS ON THE BACK. TRIMED WITH A SMALL GRINDER AND IT WORKED JUST FINE.,PLEASED,1
1221,342,Sturdy easy mounting with great selection of hardware. Price was well worth it. Will be ordering for my sister and installing a 42 inch tv with it.,Great Value,1
27,348,Love the price and Love the quality.  Super easy to install what's not to like about it. Would defiantly buy it again.,BUY IT!,1
2276,353,This is perfect for your bedroom or office.  You can swivel it and turn it to whatever direction of the room you are in.  This is a very inexpensive product but works great for me.  Love this product!,Long wall mount,"1,4"
2277,358,This wall mount is more than we expected. It does exactly what we wanted. We would recommend it to everyone..,TV wall mount,"1,4"
2278,362,"tv was ok but dont like the display, too small to see and sound is not great. everything else was great",very happy overall,"1,3"
1222,366,Solid tv mount.  I attached a 42&#34; LCD to this and it holds it rock solid with the ability to pull away from the wall to plug in additional inputs.  Don't let the low price make you wonder.  This thing is rock solid and will do the job.,Excellent mount.  Very reasonable price.,1
2279,368,"This tv wall mount is an example of you get what you pay for.  It does the job and is sturdy when tightened down so the TV isn't going any where.  The problem is that the TV level is different when the wall mounts arm is extended or retracted.  If you level the TV with the arm retracted so the the TV is against the wall the TV will be slanted when you pull the arm out to full extension, and vise versa.  I ended up purchasing a Wall mount for twice the money but with non of the problems.",its just okay,"2,3"
1223,375,less than half as much as one at Walmart. I mounted a 32 inch flat screen tv on it and it is perfect.,top quality,1
2280,376,Product was very acceptable for what I was needing. It was easy to install and met the needed requirements.,Approval Acceptance,1
1224,385,"I needed a wall mount that would allow my 46&#34; screen to be my computers display and my TV. The screen is a couple inches from the wall right now, and when I'm ready to watch TV, I pull it out about two feet, move back to my recliner, and watch TV. The mounts movement isn't real fluid, but it works. It doesn't tilt up or down, but I don't really need it to. At $30, it was a much cheaper option than I could find elsewhere.",A Decent Value,1
2281,389,"With just the one arm going out from the wall, I was worried that it wouldn't hold up my 55 inch TV. When the TV is completely extended, the arm does sag a little bit, but it's not bent or anything, it's just the hinge. It seems to be doing it's job and it's not damaging my TV or my wall.Also, I love all the angles that I can move my TV.  the room that it's in is rather large and I'm glad that I can turn it almost 180 for when I'm on either side of the room. :-) It was a great great price, and I would recommend it!","I was skeptical, but it's been working great. Great price!","1,4"
28,393,"I have a 42&#34; Hannspree LCD TV. It weighs 42.5 lbs. Most other reviews said they had a TV smaller than this so I was a little skeptical but got it because of the good price and it said it could hold 60 or so lbs. Most of my reservation was because it was the first time I've mounted a TV and worried it would fall within a week. I've had it over a month and its nice to have it be able to swing out, extend, and angle. I like the fact that I can get a bigger TV and still use this mount as its in my living room. It was not too hard to install. I bought a stud finder because I didn't have one and most everything else I already had to install it. I do highly recommend recruiting some help with the install, at least for when putting the TV on. This would be extremely hard by yourself, especially if you have a bigger TV. Overall, very happy with this mount.",Good and versatile,"1,4"
29,397,"Overall this product was great. Easy installation, shipped fast, and has a solid construction for a wall mount. I would recommend this product to others at such a good price.","Very solid product, works well",1
1225,406,this is a good product.  It went up easily.  I did it myself.  I wish I might have gotten one with a little more adjustment.  It's very rigid.,for my office tv,"1,4"
2282,410,I have purchased 3 of these wall mounts and they hold my 37 and 32 inch flat screens perfectly. I love these and highly recommend them.,One of the best wal mount sets ever!!,"1,4"
1226,411,This wall mount turned out to be great value. It does everything as advertised and was easy to install. Glad I didn't spend the $125 they wanted for a similar product at the big box store.,Better than expected for the price,1
1227,426,"Purchased this to hang a 32\ Sony LCD.  Works well for that purpose.  As other reviewers have said, it is welded out of level.  Note this before you hang it.",Works as intended,1
30,430,This wall mount was sold at a very good price.  It was very easy to mount on the wall and works and looks good.,VideoSeco articulating TV wall mount,1
1228,438,Don't  let the low price fool you - I was looking at a $150 sanus mount at Best Buy and but thought I'd atleast give this one a shot.We are glad we did - the mount is made of heavy metal - the instructions are adequate and it has true full range of motioin adjustments. I'll definitely reccomend to others!,Better than discribed,1
1229,439,I was unsure what to expect for a 25$ wall mount for my new LED LCD 32\ TV.  What I found was that the mount was easy to install and it is sturdy enough to hold the TV out at full extension without sagging.  I am very pleased with the purchase and will recommend the mount to friends,Good Buy!,1
1230,447,"Tried mounting this on a Vizio 28\ and a Sony 32\. Didn't match up with the holes on the Sony and covered the RWY slots on the Vizio.So it is not compatible with 2 of the most popular brands in these sizes. Seems like a study unit, may be good for larger models. I think it would be good for Amazon to check compatibility and inform customers if unit will not adapt to certain brands since the holes on the back of the TV's do not seem to be universal.",Incompatible,2
31,449,This mount is wonderful.  I was a bit nervous about it because it met our 46\ TV's specifications but I had trouble finding someone who had used it for that big of a TV.  It was very easy to mount our TV and it looks great on the wall.  We have a Hannspree 46\ TV and it works great.,TV Mount,1
1231,453,The best thing about it?  The parts came in separated pouches with labels on them.  Very organized!  Installing and mounting was not a problem.,It works great - and was a great price,1
32,463,I just bought a 51\ Samsung 3D plasma and needed a swivel mount that was built sturdy enough to pacify my concerns. Easy install. Wrks GR8T!! I RECOMMEND.,I RECOMMEND.,1
1232,464,"For the money, this worked fine on my 37&#34; TV.  I had to make some additional hardware up to attach, but it worked out fine. Like the ability to tilt in the room that it is in.",Good price and a good deal,1
33,473,"Read the specs and if your monitor fits the guidelines, get this.  It's been on sale and if it is now, get it.  It has many options for rotation, etc.  Can't go wrong with this.",Works great and is sturdy for monitors in the specs.,1
2283,477,The videoSecu Swing LCD Monitar is everything that it says it is.  I'm very happy with this product.,Everything it says it is.,1
2284,485,We hung our 40&#34; TV in our bedroom and it works perfect!  Strong and sturdy and assembles in no time.,Perfect!,1
1233,486,I used this mount for putting a 42&#34; LCD screen on a wall.  It is a solid and sturdy mount.  I was extremely pleased by the quality.  Hex head lag screws that are included which are a breeze to drive into the stud.  I purchased a mount previously that had a phillips head on the lag screws and that really made them a job to drive into the stud.  Since the TV was rather large (400x400 vesa mounting pattern) I had to use the extension arms off of the main plate as shown in the picture.  They were surprisingly very easy to attach.  A nice plastic cover is included which slides back over the wall mounting plate to conceal the mounting screws - I thought that was a nice touch.Overall an excellent product and I would easily purchase another if I had another TV to wall mount.,Excellent for large LCD screens,1
34,490,"pros: heavy, solid & stable,cons: the faceplate is large.so large I had to cut off an area 3x1 inches just to have access to my tvs HDMI portsmy tv has a VESA 100x100 layoutso, installation was a bummer",caveat emptor,"1,3"
2285,496,"The directions for this mount aren't real clear as far as connecting it to your TV.  But for the price, it was worth it.  I have it holding a 55 inch Samsung.","Good value, directions could be easier.","1,3"
