number,id,reviewText:,summary:,Label
11,87,This unit did not fit my Kindle.  However I am keeping it in case I buy another Kindle.  Hard to know what applies,Power Power,2
12,89,Lost my charger for my Nook.  Purchased this one and it works as good as the one that can with my Nook.Thanks for a Great Product and Great Price.,Works Just like the Original,1
13,103,"Go to Target or Barnes and Noble instead, and pay $25 (which is still a huge markup, considering they make the thing for 50 cents.) This is the worst option if you need one of these. It's price gouging, pure and simple.",$45 for a power cord? Good luck with that.,2
14,110,Item works exactly as described with no problems so far. The charger is exactly the same as the original that'd you get from Barnes and Noble.,Works Great,1
15,124,"Someone showed us an older case that was all leather, which is what I thought this would be. So, this is different but it works.",Good stand,1
16,140,"I am trying to get this to work for the last 2 weeks ... unfortunately without success. I bought the bundle #3 (Bluelogger & Street Atlas 2005 & Street Atlas 2005 Handheld). The installation went fine, but I had problems in hooking up to bluetooth. I had to reset my HP iPAQ 2215 several times in this process and my IBM T30 (2.4 GHz and with 1GB RAM) was very slow ... not sure why this was.Once I got the laptop to work, I took the Blue Logger out for a trip and downloaded the trip when I returned. Well, I coudn't make sense out the data the Blue Logger logged - the waypoints were almost all over the map. This was not the route I took.I am still within the 30-day risk-free guarantee and try to return it next week.",It doesn't work for me,"2,3"
17,170,"This does not allow for mounting other than on the stud. If the stud is not in the center it will not work. Through much difficulty my husband was able to mount this on our previous tv mount that did not swivel. He had to put a plate on, drill through medal and use more screws to secure it.",DO NOT PURCHASE IF STUD IS NOT IN CENTER MOUNT.,"2,3"
18,206,"is not 400x600 compatible but just disconnect one of the screw from the extension arm and move it forward one more, and it will fit, but you will just have 2 screw on the bottem arms and not 3, but it's okay i mounted it like that and it stable. I like it a lot.",Good product.,"1,3"
19,217,good price and works well . was quite easy to install . it is supportig a 30&#34; tv in my bedroom,tv arm,1
20,219,Nice quality still works great... very happy with this purchase... need to add 10 more words.. so what can I say its a wall mount that I haven't had any problems with,great,1
21,268,This mount is easy to install and very sturdy and is very functional and very affordable for the price. A+,great product,1
22,280,"Great bracket for the money. Easy to use and install. I have it above a chair in the basement, so it's been very reliable",Videosecu,1
23,291,Allows me to move my tv to a position of my choosing. Able to be comfortable watching tv or playing games,Cannot complain,1
24,321,The Video Secu Swing Arm TV Wall Mount was exactly what I ordered and need.  Was unable to find wall mount in local stores that would fit the mounting patten needed.  I was very happy with the product and price and would recommend this product to anyone needing a wall mount for a really good price.,Swing Arm,1
25,329,I mounted this t.v. in about 30 minutes.  The instructions were simple.  Came with its own little wrench to loosen and tighten the swivels.  I can say I am very pleased.  Money well spent.,"Awesome, cheap, easy, simple",1
26,338,THIS PRODUCT WAS EXACT AS ADVERTISED. RECEIVED IN A GOOD TIME PERIOD. INSTALLED AS INSTRUCTED. WORKED JUST FINE. IT DID NEED SOME TRIMING FROM THE BRACKET THAT ATTACHED TO THE TV. IT BLOCKED OFF THE TERMINALS ON THE BACK. TRIMED WITH A SMALL GRINDER AND IT WORKED JUST FINE.,PLEASED,1
27,348,Love the price and Love the quality.  Super easy to install what's not to like about it. Would defiantly buy it again.,BUY IT!,1
28,393,"I have a 42&#34; Hannspree LCD TV. It weighs 42.5 lbs. Most other reviews said they had a TV smaller than this so I was a little skeptical but got it because of the good price and it said it could hold 60 or so lbs. Most of my reservation was because it was the first time I've mounted a TV and worried it would fall within a week. I've had it over a month and its nice to have it be able to swing out, extend, and angle. I like the fact that I can get a bigger TV and still use this mount as its in my living room. It was not too hard to install. I bought a stud finder because I didn't have one and most everything else I already had to install it. I do highly recommend recruiting some help with the install, at least for when putting the TV on. This would be extremely hard by yourself, especially if you have a bigger TV. Overall, very happy with this mount.",Good and versatile,"1,4"
29,397,"Overall this product was great. Easy installation, shipped fast, and has a solid construction for a wall mount. I would recommend this product to others at such a good price.","Very solid product, works well",1
30,430,This wall mount was sold at a very good price.  It was very easy to mount on the wall and works and looks good.,VideoSeco articulating TV wall mount,1
31,449,This mount is wonderful.  I was a bit nervous about it because it met our 46\ TV's specifications but I had trouble finding someone who had used it for that big of a TV.  It was very easy to mount our TV and it looks great on the wall.  We have a Hannspree 46\ TV and it works great.,TV Mount,1
32,463,I just bought a 51\ Samsung 3D plasma and needed a swivel mount that was built sturdy enough to pacify my concerns. Easy install. Wrks GR8T!! I RECOMMEND.,I RECOMMEND.,1
33,473,"Read the specs and if your monitor fits the guidelines, get this.  It's been on sale and if it is now, get it.  It has many options for rotation, etc.  Can't go wrong with this.",Works great and is sturdy for monitors in the specs.,1
34,490,"pros: heavy, solid & stable,cons: the faceplate is large.so large I had to cut off an area 3x1 inches just to have access to my tvs HDMI portsmy tv has a VESA 100x100 layoutso, installation was a bummer",caveat emptor,"1,3"
35,499,Does what it's intended for below pricing found on other brands. I have a 32\ mo nted in the bedroom with this. Seems sturdy emough for it...went up easily. Only reason for docking one star is the difficulty in adjusting the unit in the beginning. You really need (on my unit at least) to work it for a while before installing so you don't have to put so much stress on the mounts once installed. It was VERY stiff and took quite a bit of muscle to loosen it up enough to adjust...even with the adjusters loosened for this purpose...suppose it's better to have it too tight than loose and have the tv \drift\ around.For $25.00 that I paid for a decent mount that has the range of angles...great find.,Great value,"1,4"
36,526,"Amazon as always 5 stars in service and shipping.The mount was for a VIZIO E260MV 26-Inch. Product comes adequate with a lot of screws, an Alan key and standard nut key that fits all the nuts. The bubble level (with magnet on the side) and cable are a nice addition.Had to cut 1 inch from the top and bottom of the base that gets screwed no to the TV, since it covered some of the inputs. Other wise very practical for my bedroom/Study that has more width so the convenience of swirling is why we wanted this and it does a good job.For the price ($25 and free shipping), its is a really good deal. Would recommend this.","Nice Flexiable mount, had to cut to fit VIZIO E260MV 26\","1,3"
37,540,Easy to install and the TV is still on the wall after three weeks! I consider this a good value for the money,Good value for the money,1
38,547,Simple to install. Great price . Fit well to my 47&#34; TV. The long arms make it easy to move around .,Great mount,1
39,565,"ASIN:0972683275 VideoSecu Articulating LCD LED TV Wall Mount for 22\ to 37\ Flat Screen with VESA 100 200 Mount Pattern 1XE]]  this wall unit was very easy to install, has all the hardware needed, and does an excellent job of allowing you to maneuver your TV to any position you want, also the price was unbelivable.  we mounted it on a wall that has about a six inch offset, with the unit having the maneuability that it has it was exactly what we needed. our TV is a 32\ Toshiba Flat Screen.  if you need a mount for your flat screen TV and it is not over 50 lbs i can highly recommend this unit.",excellent product / good price,1
40,567,"It is great. Works just like I wanted it and more.  Wonderful, terrific, great, good.Picture is very good with the product.",Terrific wall mount!,1
41,618,"I bought this, got it 2 days later, and installed it in about 15 min. It took me about 10 to find a bit to drill into the stud. I didnt even bother waiting for my husband to get home to help since I didnt need it. It came with a lot of extra screws to fit your tv just right. It works with both flat and curved television backs which I thought was handy and all the hardware to make it work for either.",Easy Breezy,1
42,638,"i mounted a 42 inch on my wall, and it really does the job. for the price you pay, this is an absolute steal. highly recommend.",it works...,1
43,651,The product quality was much sturdier than I expected based on the excellent price.  I ended up buying a total of 3 and they all work great.,LOVE IT!,1
44,659,was really easy to installcame with a lot of  hardware to fit an situationwe did not  need to use the extension bars,great,1
45,679,I strongly suggest purchasing this product.The price is unbeatable compared to the local stores! I recommend this product to the fullest.,Great product!,1
46,693,Wall mount worked great and the price beats paying $80-$100 at a store seems like great quality I put a 40 inch Magnavox on it about a month ago and still on wall! Only problem I had was screws were a little to long that went into back of tv and wouldn't completely tighten up. I ground them down a bit but a couple of small washers would have worked well also. I think it was just the brand of tv and the diameter of screw needed. Kit did come with various sizes of screws for the back of tv.,working great! still on the wall!,"1,3"
47,699,"Got this to replace a Peerless Paramount wall mount when I got my new TV.  Let me start off by saying it works as advertised.  But that won't get you 5 stars.  The problem is installation.  Maybe it's my own fault for thinking all TV wall mounts worked like the Peerless I had.  See, that one has a separate TV plate that you screw to the TV first.  Then you have the second piece (the actual wall mount) that you screw to the wall.  Once that's done, using the bracket mounted on the TV, you hang the TV on the wall mount and secure it with a single bolt.  One person can easily put a TV on the wall.Not so much with this one.  Yes, I will admit that once it's mounted, it's a more secure connection, but it's the mounting that's the problem.  You can't do it alone.  Depending on the weight of the TV, you will need at least one helper.  This mount is one piece, which means that you have to hold the TV to the wall-mounted plate while attaching it with screws.  That can get tricky, especially with heavier TVs (I used it for a while with my old LCD TV which weighs 40+ pounds).  They do get kudos for providing all the screws for all VESA types as well as a regular and an Allen wrench.Three stars for ease of installation, five stars for usability, for a combined four stars.  Make sure you get help when installing.",Get a helper when installing,"1,3,4"
48,723,This is a Great Wall mount and especially for the cost!  I've ordered a second one to hang another tv. I would definitely recommend!,Great !,1
49,760,This worked perfect.  The universal design would fit 99.9% of the TV's as advertised.  Easy to mount and very durable.,Exactly what I wanted,1
50,764,"Look at what they charge out at Best Buy, etc.  Get this and save our $$$$!  And it came very promptly.","Great product, great price.",1
51,778,"had a couple of guys put this up for me, but they said it was easy to install. I like the fact that I can move it around easily and tilt it anyway I want it to be.",easy to install,1
52,784,"I mounted a 32\ flat-panel TV in a bedroom with this excellent product, which can be set permanently to almost any viewing angle (lateral and up/down tilt) and readjusted with wrenches. You'll need a stud-finder, a drill, and a screwdriver. A wide assortment of mounting bolts and adjustment wrenches is included.A very similar product at Best Buy is about $120. Save your money and buy this one (but be sure your TV weighs less than the specified max.)","Buy this, save nearly $100",1
53,815,"Perfect size, easy to install and I am not worried at all if it can manage the TV or a storm; it's really strong and moves easily in directions for my viewing pleasure.  Has a slight tilt but then again nothings perfect!",It works and works well!,1
54,821,"I installed my tv using this mount about a month ago. Despite hitting a bad part of the stud with 1 screw, the other 5 were good and the tv seems secure.  I have a 32\ Sharp.  The mount includes about 5 different sets of screws so it's easy to find the ones that match your tv. No complaints so far.",Good buy,"1,3"
55,822,"I'm using this with my 32\ tv and I love it. The price is significantly lower than what you can find for monitor wall mounts in the retail stores (walmart, best buy).I found this to be an easy install and very secure. The swivel is smooth and I can orient my television perfectly. It also has plenty of VESA mount patterns so it will hold just about any TV.","Good Price, Great Quality",1
56,837,"Item was shipped prompty and describtion was appropriate. Holds my LG 47 inch flat screen, and has been holding for 1 yr strong so far.",Excellent purchase,1
57,842,I purchased the VideoSecu Articulating LED TV Wall Mount through Amazon.  It arrived promptly and was exactly as I ordered.  I am using it now and very pleased with it.  I would order again.,Wall Mount,1
58,854,This was installed by two handy men - the first they had every done.  Went very well.  This mount was chosen because of the 20  inch extension.  The wall is recessed so the TV needs to come out of that hole.  The mounting plate sets above the 23\ LED TV an inch but the length of the extension makes that O.K.  I would have done this myself (68 yo female) except the handy stud finder declared the whole 3' wall was a stud!!  With much chatting the handy men were finished in 45 minutes.,Flat screen TV mount 20\ extention,5
59,913,I am using this with a 40 inch Samsung smart tv.  The extended bars were not needed.  This is very easy to mount to a wall stud with just two bolts.  Many bolts are provided to fit with your television.  It is very sturdy and able to be positioned in many different ways.  Highly recommended.,Works great,1
60,921,"Stiff when trying to move but otherwise a nice product.  I'm happy with the value and would recommend it to others, but it's not a finger touch move, so it can be a little difficult to push back flat to the wall.",A little hard to move,3
61,928,Works perfectly.  They sent all the hardware for any type of mounting.  Mounting instructions easy to read and follow.  Great bargain price compared to competition.,VideoSecu TV Wall Mount,1
62,945,Mount was easy to install and one month after install.....no problems.  It extends from wall very far and great to allow the TV to almost move 90 degrees from the mount base.  We have a 32\ tv on ours.Works great - would recommend,Quality,1
63,976,Awesome product for a great price.  Used it with 40 inch Samsung smart TV.  Works great and is easily set up.,"Easy to set up, Great Product!",1
64,985,"received the product and got it installed today. for the most part I am pretty happy with the hardware except the materials being used to make screws or other parts. the screws get very easily damaged by the most commonly used screw drivers that you can find for $1 per piece.  Once I put the bolt into the LCD TV and mount it with the plate, I found myself having a hardtime removing the screw because the tread mark on the screw head is already messed by by the screw driver, which makes me doubt about the material being used on the mount and arms.  is the material used on the mount going to deliver the same quality as the bolts and nuts?",just got it installed,"2,3"
65,986,GREAT BASE. THE WELL IS INTAL and aesthetics. GOOD FINISH AND BRING YOUR CABLE AND EQUIPMENT COMPLETE. Good salesman. THE EYES CLOSED TO RECOMMEND,VERY FINE,1
66,996,"Having played with this for a couple of days I have to admit I'm impressed. I previously owed the 1950's DVD box set using the Bondi software as well, and this feels more refined and faster. I've been able to easy index various contributors and articles and save them for later.The quality of the scans aren't great. In some cases there are water stains or scribbles on the pages. It's possible that was the best they had, since let's face it I doubt Hugh Hefner and company were thinking of posterity early on in the magazine's run. Printing in particularly is pretty disappointing. At the very least it would have been nice to include the option to read transcribed text like Zinio and other software offers. That said, on a computer screen everything should be fairly readable.As others have mentioned, the quality of the pictures is also an issue. In fact I was really shocked to find out this 250gb harddrive has 215gb free. You'd think with all that space they'd scan these documents in a higher resolution, or at least offer some extras like separate folders with high-rez shots of Playmates. It seems like a lost opportunity which Playboy may be kicking themselves for now. When I inquired via email on the 1960's DVD box set they immediately offered me a [...] off coupon for this set, which would indicate it isn't selling as well as they had hoped.Which is kind of sad, because for all it's faults there is a goldmine of intellectual property on this hard drive. The articles, pictures, even advertisements are great to read. Sure I'd like higher quality scans, but I own both the Rolling Stone and National Geographic box sets and poor quality scans are an issue for all digitized magazines. So grab it while you can, because I have a feeling this won't be on the market for that long.","Good, could have been great","1,3,4"
67,1015,"This book is a collectors item and I love they way it has been done.  However, I think the price was quite high at $25 a copy.  So, I wouldn't buy too many at that price.  I would feel more comfortable at about $15.  Great quality though and a wonderful nostalgia item.",wonderful book-a keepsake,"1,3"
68,1019,The lamp broke fast when I installed it. Although I still have my doubts about if the problem was caused by some electronic problem with in my projector.,It broked fast.,2
69,1036,"This. Simply. Did. Not. Work.  Companies have to work hard to annoy me, and this product annoyed me on every level.  I plugged it in and all that happened is that my 2nd monitor flashed on and off repeatedly.  I have a similar adapter that works fine, so it's not my computer.",Did Not Work,2
70,1038,I have had no issues with the adapter. I would recommend it to anyone that is in need of an adapter.,Works Wonderfully,1
71,1048,"It works as expected - a bit flimsy but otherwise a good item. It is for work, and work doesn't reimburse for supplies (the scourge of being a teacher) so I don't mind. I use it everyday and it does just fine!",For the price you can't beat it,"1,3"
72,1050,"I was excited to finally have a tablet, but it wouldn't work. I tried the initial set-up and the device would not pick-up any WiFi signals! I took the device to a Barnes and Noble store and they couldn't get it to work either!",Doesn't work!,"2,3"
73,1066,"The Nook Tablet looks good, if you have never used an IPad. The Wifi is terrific, if you want to sit in a Barnes and Noble store to use it. The Nook display is lovely, if what you want is constant advertising of Barnes and Noble books.Unfortunately, I have more things to do than sit in a bookstore, and read. After three trips back to the store trying to make the Wifi connection with my AT&T; router, I wish I had never bought the thing.I took it back, and was still charged for a membership I didn't want.Buy the Ipad.",Don't waste  your money,"2,3,4"
74,1083,Barnes and noble put this out to be used as a tablet but it does not have the access to apps or the capability to gain access.  Almost all apps that you re used to finding cannot be found.  I could not even get the Facebook app for this tablet.  These days what is a tablet without the apps?  A reader!  And that is exactly what this is.  Nothing more nothing less!,Not for use as a tablet,2
75,1087,I bought the Nook Tablet as a gift because of the previous tablet had been worn out. She adores it and takes it just about everywhere she goes. It's great to help out with homework for those difficult questions that are beyond her parietal's expertise.,A Gift,1
76,1089,I just love my Nook.  I can share books with my brother and sister and it's so easy to use and a lot less bulky to read.,Love it,1
77,1127,"now im not entirely disappointed but i got an 8GB Nook when i clearly ordered a 16GB. i dont know if there was an error but the box says 16GB and the Nook itself only has 8GB. other than this problem, which will be solved by a 32 micro SD card, the product was really nice and in good packaging. so ill leave it with a 3.5 star rating.",8GB Nook,"1,3"
78,1129,The nook tablet is junk. If you don't have a case it will shattered. If you want to repair it you can't. Because Barnes and noble doesn't have it so that you can get it fix. I hope they change in the next 5 years. Do Not Waste 150.00 on a nook.It IS FOR SOME PEOPLE BUT NOT ME!,Awful,"2,3"
79,1147,"I had bought the Nook Tablet and was going through the registration process. Then after where you log in during setup it says error please shut down and try again. So I did. Next I just called 1-800-THE-BOOK. They had told me to reset it that didn't work either. After that they just sent me a new one in a replacement. In Addition, I gave it four stars for there assistance for Nook Support on there hotline they tried everything they could to get to work.",Didn't work after setup! But Great customer service ! ! ! :),"1,3"
80,1165,"Does not accept apps from outside vendors.  Useless.  Got as a present, I am trying to figure out how to get rid of it",Horrible,"2,3"
81,1173,"Now, I love the NOOK. After I changed it to an Android System. Bought \AndroidForNook 32GB Jelly Bean Dual-Boot\. Tons of free Apps now! You can buy 8 ~ 16 ~ 32 GB cards for the change. And, you download \Nook for Android\ (through Google Play) then you have all the books, etc... that you purchased on NOOK!!  It's the best of both worlds, then. Just do it - It's so much better!!","Now, I love the NOOK. After I changed it to an Android System. Bought \AndroidForNook 32GB Jelly Bean Dual-Boot\. Free Apps now!","1,4"
82,1197,This tablet is awesome...it took me 10 minutes to root it and turn it into a complete Android tablet legally...i did this without changing anything that originally came with the tablet...so now i have the barnes & nobles  tablet with full Android market...best of both worlds...simply awesome,great tablet...rooted,1
83,1224,And the gift was a great hit he has dwn load.  Games and reading material the young man loves it,the nook,1
84,1229,"It is a great item for regular books, but can not be used for college textbooks which was the reason I bought it. Also, if you a nuts about apps, don't get this gadget.",Portable Electronic,"1,3"
85,1260,I was a perfect price and just what i was looking for. I always look on amazon first for all my orders,perfect,1
86,1262,I have had both kindle and nook. I enjoy these books very much.  the only difference i kind find is that kindle has wi acess with it and nook u have to provide.. so far my nook is doing very well,difference between kindle and nook,"1,3"
87,1271,"FAST shipping! My Nook Tablet 16gb arrived yesterday after only having placed the order on Saturday... After having played around with it for a day or so I have to say that I am quite impressed so far. WiFi connection is very fast, so surfing the web is quick & easy... Downloading books/apps/games/etc. from Barnes & Noble takes only an instant, and overall it is a very user friendly interface. I would highly recommend the Nook Tablet, and why not pay the extra $50 bucks for the 16gb... I have so much space on this tablet, I find it will be next to impossible to run out of memory. Even though I don't think I'll need it, I love the option of adding an additional microSD card for up to 32gb more storage space, nice touch... Thanks! Very happy customer!",VERY IMPRESSED,1
88,1283,"Purchased as a Christmas gift for my wife.  She hasn't put it down.  Every once in a while she kisses me and states &#34;I LOVE IT&#34;  If I had know her reaction, I would have bought it a long time ago!",Greatest gift,1
89,1291,"I love it, but I was ale to a 9in cheaper than the 7 in screen. but i love my nook",survey on the nook,1
90,1296,"I got my Nook for a Christmas present this year. I admit, I've never had any other tablet or a Kindle, but I love my Nook. It's a great balance between an e-reader and a tablet. I love that there are tons of free books that you can get in the shop, and many books are cheaper than the paper copy.",Reading Tablet,1
91,1303,"Have had it 3 l/2 months and have had to reboot it 4 times already.  It freezes up constantly, apps don't work properly - totally disappointed in this product - waste of money and constant drain of your time and energy.",Don't waste your money,2
92,1379,"I love this tablet. It's a powerful little machine with an array of free apps and books. It's easy to hold and use and charges quickly. The only interface issues I have are: fingerprints easily seen on screen and the charge plug is at the bottom of the tablet, so it's hard to rest it on something while it's plugged in and you want to read. There are some apps I'd like for this product that I can't get yet, but I'm not overly worried about those. This does what it was paid to do! I can seamlessly go online, read books, listen to music, watch youtube, play games, and much more. It's faster than a Kindle Fire (in my experience) and is generally a great deal for the price.",Love this tablet!,1
93,1383,"I love my Nook Tablet. The selection of apps isn't amazing, but their are some very good ones that I enjoy. Browsing the internet is easy and fast. Reading books is fun and simple and you can easily look up words you don't know by just pressing and holding on the word. The selection of books is wonderful, as well as the selection of magazines, children's games, children's interactive books, and children's apps. Most things cost money, about .99 or more, but if you look for free books, there is a HUGE variety. I highly reccommend this e-reader to everyone and anyone who loves to read and browse the internet in one, but for apps and games, I would suggest a seperate venue such as Nitendo DS or portable gaming device, maybe even an ipod touch.",One of the greatest e-readers available!,1
94,1393,"Overall, I think the Nook tablet is a pretty good tablet.  It has a great price, the screen is good and the colors look great on it, but there are two major issues that I have with this tablet that keep it from being truly great.My first issue that I have with it is that the OS/Nook Software that it comes with is extremely limited.  I bought this for my daughter last Christmas and I was sorely disappointed to see that a lot of the apps/games that she wanted either were not available at all or had a price attached to them through the B&N; store.  These are the same games you can get for free through the Google Play store.  I was pretty mystified to say the least.My next issue, and perhaps the biggest issue I have, is their charger.  It's a proprietary charger (not your standard USB universal charger) and it SUCKS.  It's the worst thing I've ever seen.  It's cheap/flimsy and I've had to replace it numerous times because the prong is extremely weak/fragile.  There's not even a good after-market charger that you can buy to rectify the situation.  All of the chargers that I've seen (whether it be through B&N; or after-market) are crap and it's only a matter of time before you'll have to replace them.  At $10 a pop (through B&N;), this can add up.I was able to solve the first problem by rooting the tablet to run Android and get the Google Play store, but sadly there's no fix to the 2nd problem and that problem can bleed your wallet over time.I really want to like this tablet because I feel like it's a great budget tablet, but when you look at the hidden costs (rooting + chargers) I'd almost be inclined to pay a little extra for something like a Kindle.In sum, it's not bad once you overcome the OS problem, but the charger will keep it from being great.  Perhaps the newer models addressed that, but on this model I'd advise to seek other options.",Very mixed feelings on this tablet,"3,4"
95,1395,Arrived promptly and works great. Best option for getting a tablet under 100. It was easy to set up and use.,Nook 7\ 8GB WiFi Tablet,1
96,1420,"This Nook runs slow and you can't hear the sounds even when it's turned the whole way up! If this was a defective item, I should have been told about it! I'm glad I got a warranty because it's going to need it! It looks brand new, in perfect cosmetic condition but it's obvious it's defective.",Nook,"2,4"
97,1449,"The product was in perfect condition when it arrived, still packaged. Everything in the description arrived as promised. Just as good as buying a Nook from Barnes and Noble, plus it was cheaper this way. Everything was delivered in a very timely manner and earlier than the day it was promised.",This is a great product!,1
98,1455,"This was my 3rd Nook... I liked the features, but there seems to be a design flaw with the battery charging capability. Two of the units I purchased did not retain the charge for the battery. Sent this one back. Amazon was good about crediting the return.",Nice features but has battery issues,3
99,1462,The Nook 7&#34; 8GB Wifi tablet was a Christmas gift for my husband. He had a  plain Nook for reading. This upgrade seemed logical because he already had a Nook account. The new Nook takes cards he already had. He loves it.,A gift for my husband,1
100,1470,"This is a very cool reader, I like that its sturdy. I wish I could do more with it like my other tablet. Even though it's a bit limited it's still a keeper!",NICE NOOK!!,3
101,1474,"this is my first e-reader, impressed by the video quality, the ease and the helpfulness of Barnes and Noble when I needed some help.  Only had it 7 days but I really like it and can see why so many people have one..",Am Enjoying my nook the picture quality is really exceptional,1
102,1508,"I love my nook!!  I use it to rent books from libraries, read school books, and listen to audiobooks.",Love my nook!!,1
103,1528,"Husband has now had three Nooks; first two had defective Page Forward buttons, which cracked.  My Nook is now cracking beneath Page Forward buttons on both sides of screen.  B&N replaced both my husband's defective Nooks but not without difficulty.  Customer Support seems to be in India and representatives are difficult to understand.  Help depends upon whether or not you manage to connect with a customer service rep who is knowledgeable.  WARNING: You CANNOT change an email address in your B&N account if you have an early version Nook (no idea what \early version\ really means) without first unregistering your Nook.  NOWHERE could I find this information on the B&N website and one would logically think that email address and password are part of one's account profile since that's where one manages those items.  Not true - you MUST unregister your Nook, THEN change your email address and/or password.  (Password seems to be able to be changed without unregistering/reregistering the Nook.)  I just spent over an hour on the telephone with multiple Customer Service reps, having been cut off at least once, before I was able to successfully unregister and reregister my Nook with a new email address and password, having been forced to change it to thwart a hacker.  Of course B&N thanks you for your concerns and apologies for your inconvenience but in light of the various problems we've had I'd recommend buying a Kindle.  As for me, when I've read the current unread books in my Nook library I'm going back to hard copy books.  I've never had to enter a password to read a REAL book.",Earlier version Nooks have problems,3
104,1532,"I got this nook for my birthday in August 2010. I traveled with it all over Europe (a much welcomed relief from the suitcase of books I was dragging around before). Though I understand why people feel sentimental about real books, the nook is more convenient and more environmental. And no matter the book, it's light and easy to hold. You could read a 1000 page book with the same convenience as a 200 page book. I would recommend this product to anyone.I was surprised to see the amount of negative reviews reporting bugs and faulty products. I don't doubt that that happened, but I suppose all electronic products have their kinks. I don't usually write reviews, but I wanted to vouch for this product. I've never had any trouble with it at all.",27 Months and Going Strong!,1
105,1537,"This is the best investment I have made in a long time!! I do not have to buy any more books, I am downloading them from my local library at no cost. It has already paid for itself and it is my inseparable bed companion. No need to get any expensive fancy new Nooks, if you want to read, this is all you need. I am very happy.",MY NOOK,1
106,1542,"Barnes and Noble NOOK eBook Reader (WiFi only) [ Black & White]After a week and a half of playing with my new nook, and reading two novels on it, I decided to return it for a refund.  I found the reading experience much less pleasurable than a paper book.  The screen contrast is too low to read in low-light situations, the page turning mechanism is clunky, the page has an annoying way of flashing at every page turn, and the tactile experience is just not satisfying.The deciding factor, however, was the problem I had with connectivity.  The nook would not connect to wireless hotspots in several of my favorite coffee shops, and I found it impossible to transfer ebooks from my iBook.  I spoke with the experts at Barnes & Noble, who told me that the nook works better with some hotspots than others, and that yes, there can be compatibility problems with Macs.  In the end, I was reduced to using the nook to buy ebooks at my local Barnes & Noble store, where I discovered that seemingly all of the million-plus free books are OCR translations that have not been proofed.  They were so full of typos that they were virtually unreadable.In the end, I decided that the nook is really not market-ready.  I'm heading back to the library!",Too many bugs,3
107,1545,"I got my Nook last Sunday, and so far I love it. Before I bought it, I searched the internet for a while and I came to the a conclusion that Nook was the best for me. The touch screen is not as fast as an Iphone  but it is pretty good. Another thing that I like from the nook is that I can download free  ebooks from many sites and even the local library because it supports several formats like PDF,ePub, it is no like others ereaders that do not support epub so can't lent or get free books from library or websites.",Nook the best e reader,"1,3"
